x,y,yaw
7.955000,1.015000,1.424386
7.955000,1.165902,1.570796
7.955000,1.316804,1.570796
7.955000,1.467706,1.621093
7.939913,1.616511,1.747966
7.902453,1.761187,1.917489
7.839375,1.894790,1.837779
7.825024,2.044280,1.859837
7.755795,2.175855,2.105519
7.674284,2.298787,2.072152
7.614545,2.433580,2.278111
7.489895,2.514480,2.571171
7.363731,2.594493,2.790912
7.215101,2.615000,3.073236
7.064199,2.615000,3.141593
6.913297,2.615000,3.141593
6.762395,2.615000,-3.115441
6.611861,2.607115,-3.038823
6.462756,2.584098,-3.009165
6.312898,2.567291,-3.073160
6.162084,2.563490,-3.065895
6.012451,2.544504,-3.014193
5.862859,2.525161,3.087713
5.720780,2.560235,3.056460
5.571480,2.550027,3.125566
5.423484,2.565000,3.096187
5.272640,2.563605,-3.000705
5.127986,2.523090,-2.984464
4.980470,2.517315,-3.106788
4.829777,2.512707,-3.021492
4.685307,2.481695,-3.032084
4.537985,2.480625,-2.785629
4.423038,2.384183,-2.556905
4.292470,2.318121,-2.808169
4.155076,2.291373,-3.001330
4.032281,2.281385,3.134208
3.917820,2.293125,-2.881982
3.806482,2.221412,-3.026054
3.675478,2.265000,2.791921
3.549834,2.315000,2.962723
3.398932,2.315000,3.141593
3.248030,2.315000,-3.024512
3.135933,2.284067,-2.931355
3.013719,2.265000,-2.942055
2.886397,2.233603,-2.990700
2.773593,2.228489,-2.981263
2.649128,2.195233,-2.942063
2.532605,2.179757,-2.819142
2.411563,2.115859,-2.867569
2.266522,2.104962,-3.121804
2.118816,2.110066,-2.993654
1.998370,2.065000,-2.783904
1.864471,2.015000,-2.959197
1.713707,2.012495,-2.970530
1.579703,1.965806,-3.010641
1.431321,1.975303,-2.959902
1.304414,1.915231,-2.927492
1.153526,1.914902,-3.056753
1.005116,1.889777,-2.974557
0.857561,1.865000,-3.058764
0.706659,1.865000,3.141593
0.555757,1.865000,-3.126907
0.405054,1.860570,-2.995647
0.259459,1.821447,-2.796415
0.123071,1.759177,-2.810830
-0.023311,1.724350,-2.981999
-0.173577,1.711428,-3.019140
-0.322409,1.687541,-2.904466
-0.465221,1.640945,-2.714345
-0.593886,1.563939,-2.602564
-0.723147,1.486677,-2.724209
-0.866876,1.442884,-2.883695
-1.014110,1.409929,-2.846604
-1.154130,1.355601,-2.638357
-1.274874,1.266376,-2.393815
-1.373214,1.152411,-2.120091
-1.429857,1.013191,-1.716084
-1.414571,0.869766,-1.451847
-1.395000,0.721531,-1.555972
-1.410156,0.572028,-1.406714
-1.347743,0.436110,-1.012722
-1.253485,0.321061,-0.725074
-1.126642,0.240196,-0.432071
-0.982702,0.196195,-0.248961
-0.834877,0.166019,-0.186975
-0.686218,0.140105,-0.165871
-0.537233,0.116191,-0.193985
-0.390403,0.081990,-0.166880
-0.240643,0.066231,-0.075447
-0.090003,0.059283,-0.128589
0.057299,0.027707,-0.194517
0.205632,0.001040,-0.197715
0.352820,-0.031496,-0.082043
0.503204,-0.023428,0.068274
0.653508,-0.010935,0.025246
0.804197,-0.015828,0.091573
0.951403,0.016421,0.251661
1.096103,0.059225,0.257580
1.242610,0.093134,0.019990
1.384974,0.065000,-0.095641
1.535876,0.065000,-0.031188
1.685188,0.055634,-0.083719
1.833795,0.040000,0.000482
1.978467,0.055775,0.025951
2.127029,0.047611,-0.008750
2.272343,0.053204,0.003483
2.408647,0.048592,-0.075491
2.541667,0.032833,-0.096379
2.664935,0.023815,-0.068535
2.801468,0.015000,0.123354
2.931941,0.056919,0.185001
3.068646,0.065000,-0.155871
3.184246,0.017270,0.232875
3.279458,0.115000,0.377997
3.430360,0.115000,0.000734
3.540140,0.115191,0.527117
3.601982,0.214893,0.606806
3.683920,0.215000,0.004495
3.768067,0.215639,0.178257
3.871249,0.248751,0.176472
3.961096,0.250062,-0.111205
4.095736,0.223684,-0.199141
4.219632,0.197885,-0.035806
4.338151,0.215000,0.057917
4.482491,0.213126,-0.091363
4.624442,0.188771,-0.165615
4.770419,0.165000,-0.079897
4.921321,0.165000,0.178256
5.047937,0.215000,0.178256
5.198839,0.215000,0.161356
5.246158,0.247265,2.302462
5.110510,0.313370,2.700618
4.973250,0.376069,2.711429
4.836204,0.439227,2.704121
4.699875,0.503926,2.551087
4.637551,0.572382,0.425488
4.785314,0.542644,-0.242638
4.930060,0.499982,-0.286621
5.074806,0.457320,-0.286621
5.219552,0.414658,-0.287216
5.364246,0.371824,-0.291831
5.508592,0.327828,-0.295850
5.652938,0.283833,-0.295850
5.797284,0.239837,-0.295850
5.941630,0.195841,-0.295850
6.085976,0.151845,-0.295850
6.230322,0.107849,-0.287995
6.375337,0.066127,-0.278267
6.520512,0.024948,-0.276394
6.665686,-0.016231,-0.276394
6.810861,-0.057411,-0.257273
6.957287,-0.092953,-0.199221
7.106252,-0.117050,0.107025
7.243870,-0.062163,0.447556
7.373134,0.011065,0.580386
7.488768,0.098421,0.748822
7.586269,0.209153,0.845677
7.684833,0.319672,0.960835
7.755266,0.450970,1.164790
7.802648,0.593731,1.203557
7.863256,0.731690,1.198076
7.911786,0.872858,1.257625
