x,y,yaw,curvature,target_speed,lookahead
7.911732,0.970168,1.342695,0.581124,1.200000,0.960000
7.934484,1.118433,1.458975,0.539591,1.200000,0.960000
7.945167,1.267928,1.541515,0.561100,1.200000,0.960000
7.943252,1.417791,1.627700,0.588650,1.200000,0.960000
7.928137,1.566895,1.716665,0.598156,1.200000,0.960000
7.899727,1.714053,1.797930,0.485798,1.200000,0.960000
7.860668,1.858813,1.862998,0.382122,1.200000,0.960000
7.813375,2.001118,1.930388,0.516723,1.200000,0.960000
7.755228,2.139285,2.022459,0.711283,1.200000,0.960000
7.682730,2.270430,2.147159,0.952106,1.200000,0.960000
7.592353,2.389868,2.320735,1.362886,1.013525,0.810820
7.479683,2.488412,2.544608,1.620176,0.929572,0.743657
7.346520,2.556966,2.780330,1.519792,0.959781,0.767825
7.201165,2.593649,2.968567,0.988355,1.190166,0.952133
7.051931,2.608452,3.082406,0.529064,1.200000,0.960000
6.901971,2.611378,-3.138594,0.300054,1.200000,0.960000
6.752027,2.607553,-3.097834,0.243396,1.200000,0.960000
6.602318,2.598257,-3.066967,0.168162,1.200000,0.960000
6.452889,2.585188,-3.052346,0.026777,1.200000,0.960000
6.303513,2.571519,-3.055118,0.063739,1.200000,0.960000
6.154015,2.559278,-3.069606,0.129437,1.200000,0.960000
6.004313,2.549943,-3.099550,0.269815,1.200000,0.960000
5.854358,2.546672,-3.140544,0.276750,1.200000,0.960000
5.704388,2.549629,3.119337,0.033970,1.200000,0.960000
5.554439,2.553349,3.131080,0.190568,1.200000,0.960000
5.404460,2.552782,-3.113170,0.328574,1.200000,0.960000
5.254687,2.544826,-3.069089,0.259158,1.200000,0.960000
5.105322,2.531055,-3.043867,0.077149,1.200000,0.960000
4.956126,2.515556,-3.028416,0.128886,1.200000,0.960000
4.807284,2.497179,-2.988177,0.407867,1.200000,0.960000
4.659924,2.469754,-2.907877,0.663107,1.200000,0.960000
4.516033,2.427843,-2.822466,0.475822,1.200000,0.960000
4.375375,2.375734,-2.803787,0.226662,1.200000,0.960000
4.233163,2.328479,-2.872515,0.690195,1.200000,0.960000
4.086863,2.296172,-2.966790,0.567179,1.200000,0.960000
3.938226,2.276391,-3.049846,0.540934,1.200000,0.960000
3.788520,2.268723,3.128358,0.858469,1.200000,0.960000
3.639008,2.280351,3.051038,0.172483,1.200000,0.960000
3.489854,2.295842,3.075175,0.494712,1.200000,0.960000
3.340086,2.300234,-3.120212,0.676320,1.200000,0.960000
3.190619,2.289444,-3.032381,0.495243,1.200000,0.960000
3.042262,2.267579,-2.981738,0.180359,1.200000,0.960000
2.894512,2.241702,-2.963081,0.068453,1.200000,0.960000
2.747040,2.214311,-2.944259,0.182507,1.200000,0.960000
2.600378,2.182895,-2.923353,0.096237,1.200000,0.960000
2.454174,2.149362,-2.930081,0.185957,1.200000,0.960000
2.307121,2.119925,-2.956486,0.166111,1.200000,0.960000
2.159354,2.094157,-2.958101,0.144560,1.200000,0.960000
2.012190,2.065192,-2.937900,0.124782,1.200000,0.960000
1.865583,2.033476,-2.937967,0.125661,1.200000,0.960000
1.718405,2.004529,-2.958081,0.142532,1.200000,0.960000
1.570640,1.978735,-2.972239,0.046239,1.200000,0.960000
1.422699,1.953966,-2.976605,0.011964,1.200000,0.960000
1.274716,1.929463,-2.986607,0.121406,1.200000,0.960000
1.126314,1.907660,-3.007371,0.155450,1.200000,0.960000
0.977448,1.889322,-3.033346,0.190889,1.200000,0.960000
0.828120,1.875254,-3.060326,0.168848,1.200000,0.960000
0.678473,1.864972,-3.068098,0.065224,1.200000,0.960000
0.528966,1.853228,-3.033563,0.395398,1.200000,0.960000
0.380464,1.832652,-2.965988,0.505594,1.200000,0.960000
0.233897,1.800874,-2.910965,0.228195,1.200000,0.960000
0.088479,1.764092,-2.902379,0.113700,1.200000,0.960000
