x,y,yaw,curvature,target_speed,lookahead
1.850955,2.106692,-2.754014,0.352052,1.200000,0.960000
1.713647,2.046361,-2.719578,0.107062,1.200000,0.960000
1.577307,1.983826,-2.722505,0.146102,1.200000,0.960000
1.439652,1.924302,-2.756337,0.305120,1.200000,0.960000
1.299466,1.871156,-2.805533,0.350939,1.200000,0.960000
1.156653,1.825448,-2.853873,0.293742,1.200000,0.960000
1.011936,1.786066,-2.892488,0.221204,1.200000,0.960000
0.865982,1.751505,-2.924083,0.200083,1.200000,0.960000
0.719048,1.721337,-2.955319,0.216398,1.200000,0.960000
0.571212,1.695953,-2.985593,0.187241,1.200000,0.960000
0.422727,1.674732,-3.013718,0.187773,1.200000,0.960000
0.273712,1.657702,-3.041229,0.179052,1.200000,0.960000
0.124296,1.644679,-3.064606,0.132663,1.200000,0.960000
-0.025361,1.634632,-3.079638,0.067777,1.200000,0.960000
-0.175119,1.626105,-3.083539,0.015766,1.200000,0.960000
-0.324854,1.617225,-3.062323,0.267096,1.200000,0.960000
-0.474115,1.602354,-2.995010,0.630461,1.200000,0.960000
-0.621234,1.573467,-2.868757,1.053491,1.152786,0.922228
-0.761788,1.521859,-2.693928,1.278413,1.046474,0.837179
-0.889830,1.444494,-2.509563,1.181478,1.088557,0.870846
-1.002276,1.345768,-2.346726,0.992385,1.187747,0.950197
-1.098897,1.231429,-2.204029,0.913004,1.200000,0.960000
-1.179016,1.105003,-2.064465,0.950996,1.200000,0.960000
-1.240332,0.968593,-1.917651,1.010470,1.177070,0.941656
-1.280373,0.824598,-1.765863,1.017916,1.172757,0.938206
-1.298109,0.676171,-1.617556,0.963936,1.200000,0.960000
-1.294317,0.526617,-1.477427,0.907960,1.200000,0.960000
-1.270267,0.378846,-1.342268,0.896086,1.200000,0.960000
-1.226604,0.235495,-1.202509,0.967543,1.200000,0.960000
-1.162598,0.099836,-1.048783,1.082134,1.137427,0.909942
-1.077584,-0.023563,-0.900135,0.900805,1.200000,0.960000
-0.976959,-0.134164,-0.771486,0.816938,1.200000,0.960000
-0.863618,-0.231657,-0.649330,0.814953,1.200000,0.960000
-0.739082,-0.314748,-0.519892,0.912372,1.200000,0.960000
-0.604115,-0.380201,-0.362077,1.191517,1.083962,0.867169
-0.459683,-0.420577,-0.194808,1.038108,1.161295,0.929036
-0.310995,-0.438037,-0.051774,0.869457,1.200000,0.960000
-0.161336,-0.436038,0.065615,0.697712,1.200000,0.960000
-0.012638,-0.418432,0.161815,0.586613,1.200000,0.960000
0.134037,-0.387821,0.243164,0.498892,1.200000,0.960000
0.278135,-0.346299,0.321938,0.551713,1.200000,0.960000
0.418344,-0.292993,0.410834,0.634020,1.090502,0.872402
0.552706,-0.226690,0.572330,1.532613,0.842459,0.673967
0.667364,-0.132558,1.330887,5.956916,0.484790,0.450000
